user,pwd,cpwd
954611,Av45534413,Av45534413
,,
 , , 
NULL,NULL,NULL,
!,Av45534413,Av45534413
71581341,%,%
123987,Av45534413,
,Av45534413,Av45534413
95461,Av45534413,Av45534413
12345678900,Av45534413,Av45534413
9546123,Av455,Av455
9546124,Bc12345678912345,Bc12345678912345
9546127,Bc123456789123456,Bc123456789123456
9543134,12345678912345,12345678912345
9545734,ABCABCABCABCABC,ABCABCABCABCABC
943134,12345678912345,12345678912345
988714611,AA45534413,AA45534413
abcdef,Wq789456,Wq789456
小马,Qw78912345,Qw78912345
1
